City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,kalmunai,LK,81.27,overcast clouds,7.42,81.82,VS Villa
1,san jeronimo,PE,50,light rain,-13.65,-73.37,La Mansion Casa Hotel
2,bambous virieux,MU,81,shower rain,-20.34,57.76,Casa Tia Villa
3,atuona,PF,80.35,clear sky,-9.8,-139.03,Villa Enata
4,hobart,AU,69.8,scattered clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
5,vaini,IN,75.2,scattered clouds,15.34,74.49,Dandeli Lake County
6,victoria,BN,86,broken clouds,5.28,115.24,Tiara Labuan Hotel
7,albany,US,35.01,light intensity drizzle,42.65,-73.75,Hilton Albany
8,petropavlovsk-kamchatskiy,RU,12.2,broken clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
9,punta arenas,CL,42.8,overcast clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
10,agadir,MA,44.6,clear sky,30.42,-9.58,Iberostar Founty Beach
11,kruisfontein,ZA,65.16,clear sky,-34,24.73,Oyster Bay House Rental
12,busselton,AU,84,clear sky,-33.64,115.35,Observatory Guest House
13,palu,ID,77.18,moderate rain,-0.9,119.87,Hotel Santika Palu
14,coihaique,CL,50,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
15,arraial do cabo,BR,75.07,clear sky,-22.97,-42.02,Pousada Porto Praia
16,deputatskiy,RU,-22.83,broken clouds,69.3,139.9,Baza Otdykha
17,phuket,TH,89.6,few clouds,7.89,98.4,Rome Place Hotel
18,barcelos,BR,73.4,overcast clouds,-0.97,-62.93,Barco Hotel Princesa Amazonia
19,maunabo,PR,75.99,light rain,18.01,-65.9,Maunacaribe
20,puerto ayora,EC,73,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
21,bluff,AU,94.5,clear sky,-23.58,149.07,Bluff Hotel
22,ushuaia,AR,46.4,scattered clouds,-54.81,-68.31,Albatros Hotel
23,zeya,RU,-19.35,clear sky,53.74,127.27,Kapital Inn
24,severo-kurilsk,RU,27.77,light snow,50.68,156.12,Kak Doma
25,college,US,0,scattered clouds,64.86,-147.8,Pike's Waterfront Lodge
26,mahibadhoo,MV,81.91,scattered clouds,3.78,72.97,Omadhoo Inn
27,avarua,CK,77,overcast clouds,-21.21,-159.78,Paradise Inn
28,souillac,FR,37.99,mist,45.6,-0.6,micka § elina
29,luwuk,ID,84.85,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
30,cap malheureux,MU,81,shower rain,-19.98,57.61,Pereybere Hotel & Spa
31,la gomera,GT,74.07,overcast clouds,14.09,-91.05,Hotel Colonial Doña Manuelita
32,grindavik,IS,42.8,moderate rain,63.84,-22.43,Northern Light Inn & Max's Restaurant
33,chokurdakh,RU,-27.54,scattered clouds,70.62,147.9,
34,houston,US,50,clear sky,29.76,-95.37,"Hotel ICON, Autograph Collection"
35,aktau,KZ,39.2,overcast clouds,43.65,51.16,Grand Hotel Victory
36,hermanus,ZA,69.01,clear sky,-34.42,19.24,Misty Waves Boutique Hotel
37,odesskoye,RU,-2.36,overcast clouds,54.21,72.97,
38,sioux lookout,CA,14,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
39,mananjary,MG,73.24,light rain,-19.16,46.8,
40,kandrian,PG,84.97,moderate rain,-6.21,149.55,Kandrian Station
41,zhigalovo,RU,-4.32,overcast clouds,54.81,105.15,"Hotel ""Lenatur"""
42,vardo,US,43,mist,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
43,osmaniye,TR,50,light rain,37.07,36.26,KARACALAR APART
44,mataura,NZ,73,scattered clouds,-46.19,168.86,Ellie's Villa
45,saskylakh,RU,-33.02,clear sky,71.97,114.09,
46,hasaki,JP,64,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
47,richards bay,ZA,75.65,light rain,-28.77,32.06,BON Hotel Waterfront Richards Bay
48,ibirite,BR,68,clear sky,-20.02,-44.06,Residencial Renault
49,tuktoyaktuk,CA,-11.2,light snow,69.44,-133.03,End of The Road Ltd.
50,barrow,AR,65.3,overcast clouds,-38.31,-60.23,
51,fortuna,US,48,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
52,columbus,US,45,clear sky,32.46,-84.99,Columbus Marriott
53,rikitea,PF,77.45,overcast clouds,-23.12,-134.97,Pension Maro'i
54,iqaluit,CA,-14.01,clear sky,63.75,-68.52,Frobisher Inn
55,comodoro rivadavia,AR,57.2,clear sky,-45.87,-67.48,Austral Hotel
56,macusani,PE,32.9,overcast clouds,-14.07,-70.43,"Hospedaje ""Arca de Noe"""
57,talaja,IN,62.6,smoke,21.35,72.04,Velvettas Resorts
58,aden,YE,82.38,scattered clouds,12.79,45.03,Sama Emirate Hotel
59,east london,ZA,69.8,light rain,-33.02,27.91,Tu Casa
60,sur,OM,72.77,clear sky,22.57,59.53,Sur Plaza Hotel
61,jamestown,AU,79.92,clear sky,-33.21,138.6,Jamestown Motel Terraces
62,gumdag,TM,45.05,clear sky,39.2,54.59,
63,caravelas,BR,70.57,clear sky,-17.73,-39.27,Pousada dos Navegantes
64,nguru,NG,54.95,scattered clouds,12.88,10.45,Government Lodge
65,neiafu,TO,80.6,broken clouds,-18.65,-173.98,Mystic Sands
66,khatanga,RU,-21.3,overcast clouds,71.98,102.47,"""Khatanga"""
67,nishihara,JP,66,scattered clouds,35.74,139.53,Citytel Musashisakai
68,cidreira,BR,74.84,scattered clouds,-30.17,-50.22,Hotel Castelo
69,taunggyi,MM,76.96,light rain,20.78,97.03,True Treasure Hotel
70,neyvo-shaytanskiy,RU,11.62,overcast clouds,57.73,61.25,
71,bredasdorp,ZA,68,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
72,methven,NZ,72,clear sky,-43.63,171.65,Brinkley Resort
73,luderitz,,62.6,overcast clouds,-26.65,15.16,LÜDERITZ NEST HOTEL
74,kwinana,AU,89.6,clear sky,-32.25,115.77,Devon House
75,slyudyanka,RU,17.64,overcast clouds,51.66,103.72,Delight
76,the valley,AI,77,light intensity shower rain,18.22,-63.06,CeBlue Villas & Beach Resort
77,bonthe,SL,75.52,few clouds,7.53,-12.5,Bonthe Holiday Village
78,port alfred,ZA,70,overcast clouds,-33.59,26.89,The Halyards Hotel
79,upernavik,GL,-9.76,light snow,72.79,-56.15,Gina's Guesthouse - Upernavik
80,bowmore,US,53.01,clear sky,34.94,-79.3,
81,ancud,CL,48.2,clear sky,-41.87,-73.83,Hotel Arena Gruesa
82,katobu,ID,85.1,moderate rain,-4.94,122.53,La Ode Husein
83,whitehorse,CA,34,broken clouds,60.72,-135.06,The Sternwheeler Hotel & Conference Centre
84,epitalion,GR,50,broken clouds,37.63,21.5,SALMONI SPITI ALEXIS
85,hithadhoo,MV,82.04,clear sky,-0.6,73.08,Scoop Guest House
86,tuatapere,NZ,73,scattered clouds,-46.13,167.69,Ron and Tony's Bed & Breakfast
87,taperoa,BR,74.07,overcast clouds,-7.21,-36.83,Pousada Santo Inácio
88,shenjiamen,CN,45,broken clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
89,alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
90,nanortalik,GL,24.53,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
91,butaritari,KI,83.62,overcast clouds,3.07,172.79,Isles Sunset Lodge
92,xining,CN,31.84,clear sky,36.62,101.77,Super Leisure Hotel
93,farmington,US,16,clear sky,36.73,-108.21,Courtyard by Marriott Farmington
94,cayenne,GF,75.2,scattered clouds,4.94,-52.33,Hôtel Le Dronmi
95,brae,GB,46.4,broken clouds,60.4,-1.35,Busta House Hotel
96,dali,CN,33.55,overcast clouds,34.79,109.94,Home Inn
97,terney,RU,-2.9,clear sky,45.05,136.61,Sikhote-Alin'
98,havre,US,30.2,clear sky,48.55,-109.68,Best Western Plus Great Northern Inn
99,valentin gomez farias,MX,46.51,clear sky,24.05,-104.7,Hotel Posada San Agustin
100,kudahuvadhoo,MV,82.38,light rain,2.67,72.89,Kudahuvadhoo Retreat
101,narsaq,GL,10.4,clear sky,60.91,-46.05,Hotel Narsaq
102,faya,SA,57.2,clear sky,18.39,42.45,مقبرة ال مجمل
103,thompson,CA,6.8,light snow,55.74,-97.86,Burntwood Hotel
104,bud,NO,39.2,broken clouds,62.91,6.91,Lisjesundet
105,kapaa,US,78.8,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
106,mount gambier,AU,68,broken clouds,-37.83,140.78,Commodore on the Park
107,kenora,CA,15.8,broken clouds,49.76,-94.48,Clarion Lakeside Inn and Conference Centre
108,moose factory,CA,19.4,light snow,51.26,-80.61,Cree Village Eco Lodge
109,tasiilaq,GL,26.6,light snow,65.61,-37.64,The Red House
110,kavaratti,IN,86,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
111,mount isa,AU,100.85,scattered clouds,-20.73,139.49,ibis Styles Mt Isa Verona
112,mayskiy,RU,32,overcast clouds,43.63,44.06,"Gostinitsa ""Ochag"""
113,serrana,BR,73.4,overcast clouds,-21.21,-47.61,CMS Plaza Hotel
114,yellowknife,CA,9,light snow,62.45,-114.38,The Explorer Hotel
115,rabo de peixe,PT,64.4,broken clouds,37.8,-25.58,Quinta das Giestas
116,huangnihe,CN,0.97,clear sky,43.56,128.02,Huangnihe Forestry Bureau Huanglin Hotel
117,mogadishu,SO,82.4,few clouds,2.04,45.34,Hotel Juba
118,linqiong,CN,61,haze,30.42,103.46,Tianlun Tanxianglou Hotel
119,komsomolskiy,RU,12.76,light snow,67.55,63.78,
120,saldanha,PT,38.82,clear sky,41.42,-6.55,Quinta das amendoeiras BF
121,port-gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
122,esperance,AU,77,clear sky,-33.86,121.89,Hospitality Esperance
123,mehamn,NO,24.42,overcast clouds,71.03,27.85,Mehamn Arctic Hotel AS
124,lasa,CY,51.8,scattered clouds,34.92,32.53,Lasa Heights Hotel
125,chicama,PE,69.8,mist,-7.84,-79.15,Hospedaje Punta Cana PERU
126,bethel,US,-5.8,clear sky,60.79,-161.76,Long House Hotel Bethel
127,mikun,RU,22.46,light snow,62.35,50.08,Apartments on Mechnikova
128,walvis bay,,61,overcast clouds,-22.95,14.51,Oyster Box Guesthouse
129,nikolskoye,RU,39.2,overcast clouds,59.7,30.79,Tourist House - Sablino
130,obo,CF,73.27,broken clouds,5.39,26.49,
131,ponta do sol,BR,63.57,broken clouds,-20.63,-46,Hotel Escarpas do Lago
132,kavieng,PG,85.03,clear sky,-2.57,150.8,Nusa Island Retreat
133,pangnirtung,CA,-21.17,overcast clouds,66.15,-65.72,Kilabuk Lodge
134,port hardy,CA,44.6,light rain,50.7,-127.42,Airport Inn
135,mar del plata,AR,54.82,clear sky,-46.43,-67.52,Hotel Costanera Del Sur
136,qaanaaq,GL,-36.26,overcast clouds,77.48,-69.36,Qaanaaq Hotel
137,sitka,US,23,clear sky,37.17,-99.65,
138,bara,NG,55.96,clear sky,10.41,10.6,
139,cape town,ZA,70,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
140,grand forks,US,14,light snow,47.91,-97.06,Canad Inns Destination Center - Grand Forks
141,constitucion,MX,46.51,clear sky,23.99,-104.67,Hotel Posada San Agustin
142,ilulissat,GL,19.4,snow,69.22,-51.1,Hotel Arctic
143,dauphin,CA,15.8,overcast clouds,51.15,-100.04,Canway Inn & Suites
144,dalvik,SE,41,clear sky,57.79,14.13,Scandic Portalen
145,havoysund,NO,30.2,broken clouds,71,24.66,Arctic View Glamping & Restaurant
146,yumen,CN,20.37,clear sky,40.29,97.04,玉门宾馆
147,novyye burasy,RU,26.01,light snow,52.13,46.08,
148,poum,MK,24.8,clear sky,41.28,20.71,Cimitero
149,mahebourg,MU,81,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
150,geraldton,CA,12.2,light snow,49.72,-86.95,Victoria Bed & Breakfast
151,antalaha,MG,79.92,overcast clouds,-14.9,50.28,Hotel Vitasoa
152,ulladulla,AU,69.8,overcast clouds,-35.36,150.48,Sandpiper Motel
153,tynda,RU,-22.25,clear sky,55.15,124.74,Medis
154,price,US,17.01,clear sky,39.6,-110.81,National 9 - Price River Inn
155,beipiao,CN,11.46,clear sky,41.8,120.76,Beipiao Hotel
156,hlukhiv,UA,31.91,overcast clouds,51.68,33.91,Nichlih
157,torbay,CA,34,overcast clouds,47.66,-52.73,See The Sea
158,banda aceh,ID,85.15,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
159,cherskiy,RU,-34.87,clear sky,68.75,161.3,Gostinitsa
160,sao joao da barra,BR,74.1,light rain,-21.64,-41.05,Pousada Porto De Canoas
161,katsuura,JP,46.4,broken clouds,33.93,134.5,喜楽の湯
162,broome,GB,44.01,fog,52.47,1.45,Angel House B & B
163,orlik,PL,42.8,broken clouds,53.95,17.74,Fsilkowo WCZASY
164,bakchar,RU,2.16,light snow,57.02,82.07,Снежинка
165,santa cruz do sul,BR,70,broken clouds,-29.71,-52.43,Hotel Antonio's
166,pisco,PE,70,scattered clouds,-13.71,-76.2,Hostal San Isidro Oficial
167,huarmey,PE,65.91,broken clouds,-10.07,-78.15,Hotel Miramar
168,bafia,CM,70.99,broken clouds,4.74,11.22,Auberge le Mazerolle
169,inirida,CO,73.71,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
170,mandalgovi,MN,9.48,few clouds,45.76,106.27,В.Ганбат
171,henties bay,,61,overcast clouds,-22.12,14.28,Fishermans Guest House
172,castro,CL,48.2,clear sky,-42.48,-73.76,Hotel Esmeralda
173,guerrero negro,MX,55.6,clear sky,27.97,-114.04,The Halfway Inn
174,pareora,NZ,68,clear sky,-44.49,171.21,CABIN 29
175,williamsburg,US,55,clear sky,37.27,-76.71,Comfort Suites Williamsburg Historic Area
176,nakasongola,UG,76.01,broken clouds,1.32,32.46,Norena Hotel
177,manali,IN,42.01,overcast clouds,32.25,77.19,Hotel Bhrigu
178,kokopo,PG,83.86,moderate rain,-4.34,152.27,Kokopo Beach Bungalow Resort
179,sterling,US,46.4,light rain,39,-77.4,Hampton Inn & Suites Washington-Dulles International Airport
180,royan,FR,39.2,mist,45.62,-1.03,Hôtel Cordouan Thalassothérapie et Spa - Royan
181,port elizabeth,US,45,overcast clouds,39.31,-74.98,HAMMER RUN
182,hovd,NO,39.99,broken clouds,63.83,10.7,"Einlia, Trongsundet"
183,verkhnyaya maksakovka,RU,21.2,light shower snow,61.63,50.97,
184,udachnyy,RU,-34.6,clear sky,66.42,112.4,Gostinitsa Vilyuy
185,artesia,US,30.2,clear sky,32.84,-104.4,La Quinta Inn & Suites by Wyndham Artesia
186,mvuma,ZW,76.6,overcast clouds,-19.28,30.53,
187,mayo,CA,6.8,overcast clouds,63.59,-135.9,Gold and Galena Bed and Breakfast
188,georgetown,GY,75.2,scattered clouds,6.8,-58.16,Kanhai's Center
189,puerto del rosario,ES,62.6,scattered clouds,28.5,-13.86,Hotel JM Puerto del Rosario
190,ostrovnoy,RU,25.18,light snow,68.05,39.51,
191,finschhafen,PG,85.5,broken clouds,-6.6,147.85,Cossam Guest House
192,saint-michel-des-saints,CA,21.96,snow,46.68,-73.92,Motel Du Mont trinity
193,seoul,KR,24.8,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
194,temiscaming,CA,34,light snow,46.72,-79.1,Auberge Canadienne
195,bhag,PK,60.08,clear sky,29.04,67.82,Bukhari hotl
196,qasigiannguit,GL,19.4,snow,68.82,-51.19,
197,dryden,CA,14,scattered clouds,49.79,-92.84,Holiday Inn Express Dryden
198,lompoc,US,53.6,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
199,quatre cocos,MU,81,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
200,capissayan,PH,79.45,light rain,18.05,121.82,
201,nuuk,GL,23,light snow,64.17,-51.74,Vandrehuset
202,berlevag,NO,29.68,light snow,70.86,29.09,Kvitbrakka
203,nouadhibou,MR,64.4,scattered clouds,20.93,-17.03,El Medina
204,ponta delgada,PT,64.4,broken clouds,37.73,-25.67,Vila Nova Hotel
205,faanui,PF,81.25,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
206,saint-philippe,CA,32,light snow,45.36,-73.48,Camping St-Andre
207,millinocket,US,27,light rain,45.66,-68.71,Katahdin Inn & Suites
208,ust-nera,RU,-29.88,overcast clouds,64.57,143.24,Gostevoy Dom
209,westport,US,39.2,overcast clouds,41.14,-73.36,The Westport Inn
210,lorengau,PG,84.87,light rain,-2.02,147.27,Lorengau Harbourside Hotel
211,port lincoln,AU,67.03,clear sky,-34.72,135.86,Port Lincoln Hotel
212,shagonar,RU,-10.43,overcast clouds,51.54,92.92,
213,la tuque,CA,21.31,light snow,47.44,-72.79,The Gite du Parc
214,verkhnetulomskiy,RU,14,overcast clouds,68.61,31.8,Отель Уют
215,sistranda,NO,39.99,light intensity shower rain,63.73,8.83,Hotell Frøya
216,ribeira grande,PT,60.66,light rain,38.52,-28.7,Quinta da Meia Eira
217,airai,TL,79.63,light rain,-8.93,125.41,Juvinal Martin
218,tazmalt,DZ,57.2,scattered clouds,36.39,4.4,Hôtel Numédia
219,astana,KZ,3.2,light snow,51.13,71.43,King Hotel Astana
220,bubaque,GW,79.07,few clouds,11.28,-15.83,Casa Dora
221,vestmannaeyjar,IS,45.88,moderate rain,63.44,-20.27,Glamping & Camping
222,new norfolk,AU,69.8,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
223,mancora,PE,76.87,broken clouds,-4.1,-81.05,Máncora Marina Hotel
224,itacarambi,BR,65.5,scattered clouds,-15.1,-44.09,POUSADA CAMALEÃO
225,termiz,AF,50,scattered clouds,37.23,67.28,UmidHotel
226,argelia,CO,66.2,drizzle,4.73,-76.12,Hotel El Triangulo
227,methoni,GR,42.8,few clouds,36.82,21.7,Methoni Beach Hotel
228,iskateley,RU,19.78,light snow,67.68,53.15,Hostel Agat
229,rock sound,BS,76.48,scattered clouds,24.9,-76.2,Rock Sound Club
230,hilo,US,73.4,broken clouds,19.71,-155.08,Hilo Seaside Hotel
231,goure,NE,60.01,scattered clouds,13.98,10.27,
232,eureka,US,48,overcast clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
233,lebu,ET,59.56,few clouds,8.96,38.73,Dah-Lak Guest House
234,hobyo,SO,82.89,light rain,5.35,48.53,Osmani Hotel
235,tijara,IN,54,clear sky,27.94,76.85,"Tijara Fort-Palace - 19th Century, Alwar"
236,zhezkazgan,KZ,17.6,snow,47.8,67.71,Kvartiry Posutochno.
237,longyearbyen,NO,1.4,clear sky,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
238,saint-pierre,FR,28.4,broken clouds,48.95,4.24,Auberge des Moissons
239,te anau,NZ,66.87,clear sky,-45.41,167.72,Kingsgate Hotel Te Anau
240,pundaguitan,PH,81.88,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
241,panacan,PH,91.4,scattered clouds,7.15,125.66,Seawind Residences near Davao City Airport and Samal Ferry Wharf
242,santa cruz,BR,72.64,light rain,-6.22,-36.02,Pousada Trairi
243,vaasa,FI,32,overcast clouds,63.1,21.62,Hotel Astor
244,bethlehem,US,39.2,mist,40.62,-75.38,Holiday Inn Express & Suites Bethlehem
245,pout,SN,75.2,broken clouds,14.77,-17.06,chez sada niang
246,zavodouspenskoye,RU,-2.2,scattered clouds,56.86,65.02,
247,namie,JP,46.99,scattered clouds,37.52,140.86,熊ノ森山
248,kudat,MY,77,heavy intensity shower rain,6.89,116.84,Dream Garden Hotel
249,luau,CD,68.67,light rain,-10.7,22.23,Kimbo Hotel
250,gustrow,DE,44.01,scattered clouds,53.8,12.17,Hotel & Restaurant am Schlosspark
251,carnarvon,ZA,70.43,clear sky,-30.97,22.13,Maritza Bed & Breakfast
252,provideniya,RU,-24.43,clear sky,64.42,-173.23,
253,santa rosa de cabal,CO,66.2,drizzle,4.86,-75.62,Hotel Suite Santa Rosa
254,kahului,US,75.2,clear sky,20.89,-156.47,Maui Seaside Hotel
255,aasiaat,GL,19.69,light snow,68.71,-52.87,Hotel Aasiaat Sømandshjem
256,guasdualito,VE,74.46,broken clouds,7.24,-70.73,Hotel Cuibas
257,codrington,AU,89.6,overcast clouds,-28.95,153.24,
258,jalor,IN,66.25,clear sky,25.35,72.62,Hotel Mansarovar
259,lavrentiya,RU,-22.05,clear sky,65.58,-170.99,
260,sakaiminato,JP,42.8,light intensity shower rain,35.55,133.23,味処・民宿 まつや
261,sandpoint,US,32,light rain,48.28,-116.55,La Quinta Inn by Wyndham Sandpoint
262,morondava,MG,91.09,scattered clouds,-20.3,44.28,La Case Bambou
263,yeppoon,AU,89.6,light rain,-23.13,150.74,Villa Mar Colina
264,naze,NG,71.6,few clouds,5.43,7.07,Female Hostel C
265,parrsboro,CA,28.4,overcast clouds,45.41,-64.33,Gillespie House Inn
266,beringovskiy,RU,-16.64,clear sky,63.05,179.32,Beringgorski
267,tver,RU,36.05,broken clouds,56.86,35.92,Osnabrueck
268,cuxhaven,DE,43,few clouds,53.87,8.7,Best Western Hotel Das Donners
269,pevek,RU,-19.68,overcast clouds,69.7,170.27,Munitsipal'naya Gostinitsa
270,veraval,FR,33.8,mist,49.65,0.71,Le Manoir aux Vaches
271,metu,ET,69.46,broken clouds,8.3,35.58,Bisrat Restaurant
272,brenham,US,46,clear sky,30.17,-96.4,Hampton Inn & Suites Brenham
273,sinnamary,GF,79.16,broken clouds,5.38,-52.96,ALETHEIA Appartement Sinnamary
274,torquay,GB,46.99,broken clouds,50.47,-3.52,The Grand Hotel
275,amla,IN,68.95,broken clouds,21.92,78.13,Sai Mandir Kewat
276,trinidad,BO,72.75,moderate rain,-14.83,-64.9,Hotel Piesta
277,sovetskiy,RU,28.15,light snow,56.76,48.47,
278,jiazi,CN,75.2,broken clouds,19.61,110.49,
279,eganville,CA,32,light snow,45.54,-77.1,Egan Inn
280,lisala,CD,73.17,overcast clouds,2.15,21.52,
281,los llanos de aridane,ES,68,broken clouds,28.66,-17.92,Valle Aridane
282,imbituba,BR,77,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
283,sambava,MG,79.21,broken clouds,-14.27,50.17,Melrose
284,payette,US,32,overcast clouds,44.08,-116.93,Payette Motel
285,clovis,US,43,mist,36.83,-119.7,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
286,nabire,ID,81.75,moderate rain,-3.36,135.5,Hotel Nusantara Nabire
287,gourcy,BF,61.09,clear sky,13.21,-2.36,
288,saquarema,BR,77,few clouds,-22.93,-42.51,Itaúna Hostel
289,bonavista,CA,33.01,light snow,48.65,-53.11,Abbott's Bed & Breakfast
290,montepuez,MZ,76.51,overcast clouds,-13.13,39,RESIDÊNCIAL LANCHONETE
291,cauquenes,CL,56.07,clear sky,-35.97,-72.32,Casa Junto al Mar
