City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,41.0,80,20,6.93,AR,2020-09-06 23:01:01
1,Conneaut,41.95,-80.55,69.8,64,90,6.8,US,2020-09-06 23:02:13
2,Lagoa,39.05,-27.98,68.61,73,72,23.22,PT,2020-09-06 23:02:13
3,Albany,42.6,-73.97,73.99,64,34,0.72,US,2020-09-06 23:02:14
4,Norman Wells,65.28,-126.83,55.4,54,75,10.29,CA,2020-09-06 23:02:14
5,Farmersville,36.3,-119.21,104.0,27,0,6.38,US,2020-09-06 23:02:14
6,Rikitea,-23.12,-134.97,73.42,84,0,12.62,PF,2020-09-06 23:02:15
7,Hermanus,-34.42,19.23,55.0,82,5,1.01,ZA,2020-09-06 23:02:15
8,Inhambane,-23.86,35.38,67.5,68,45,5.79,MZ,2020-09-06 23:02:15
9,Saint-Philippe,-21.36,55.77,66.2,72,40,6.93,RE,2020-09-06 23:02:15
10,Barrow,71.29,-156.79,37.4,93,90,13.87,US,2020-09-06 23:02:16
11,Asau,46.43,26.4,55.0,96,0,2.33,RO,2020-09-06 23:02:16
12,Bethel,41.37,-73.41,75.2,53,75,5.82,US,2020-09-06 22:57:46
13,Bathsheba,13.22,-59.52,82.4,69,40,12.75,BB,2020-09-06 23:01:04
14,Sur,22.57,59.53,82.29,64,0,10.71,OM,2020-09-06 23:02:17
15,Beringovskiy,63.05,179.32,48.69,76,85,5.88,RU,2020-09-06 23:02:17
16,Mukhen,48.1,136.1,68.58,72,100,1.5,RU,2020-09-06 23:02:17
17,Avarua,-21.21,-159.78,73.4,60,35,8.05,CK,2020-09-06 23:02:17
18,Ponta Do Sol,32.67,-17.1,73.4,73,20,6.93,PT,2020-09-06 23:02:18
19,Cape Town,-33.93,18.42,57.2,82,0,6.93,ZA,2020-09-06 23:00:03
20,Lavrentiya,65.58,-171.0,44.47,71,94,19.15,RU,2020-09-06 23:02:18
21,New Norfolk,-42.78,147.06,60.01,55,72,3.0,AU,2020-09-06 23:02:19
22,Mar Del Plata,-38.0,-57.56,46.0,81,2,4.7,AR,2020-09-06 22:57:24
23,Verkhoyansk,67.54,133.38,47.82,73,100,11.97,RU,2020-09-06 23:02:19
24,Castro,-24.79,-50.01,65.52,57,0,4.85,BR,2020-09-06 22:58:37
25,Arraial Do Cabo,-22.97,-42.03,72.84,83,0,18.99,BR,2020-09-06 23:02:19
26,Port Elizabeth,-33.92,25.57,57.2,100,90,10.29,ZA,2020-09-06 23:02:19
27,Anadyr,64.75,177.48,48.2,93,75,11.18,RU,2020-09-06 23:02:20
28,Victoria,22.29,114.16,84.0,86,61,1.99,HK,2020-09-06 22:58:12
29,Ilulissat,69.22,-51.1,37.4,86,100,6.93,GL,2020-09-06 23:02:20
30,Mount Gambier,-37.83,140.77,62.6,36,56,21.92,AU,2020-09-06 23:02:21
31,Butaritari,3.07,172.79,83.89,72,100,18.41,KI,2020-09-06 23:02:21
32,Thompson,55.74,-97.86,48.2,57,75,12.75,CA,2020-09-06 23:02:21
33,Gorom-Gorom,14.44,-0.24,78.6,72,59,5.3,BF,2020-09-06 23:02:22
34,Berestechko,50.36,25.11,61.0,98,99,4.18,UA,2020-09-06 23:02:22
35,Vanavara,60.34,102.28,43.68,86,100,0.43,RU,2020-09-06 23:02:22
36,Kaitangata,-46.28,169.85,55.0,61,22,1.99,NZ,2020-09-06 23:02:23
37,Punta Arenas,-53.15,-70.92,44.6,70,75,8.05,CL,2020-09-06 23:02:23
38,Hobart,-42.88,147.33,62.01,58,72,12.75,AU,2020-09-06 23:02:23
39,Yellowknife,62.46,-114.35,48.2,61,75,6.93,CA,2020-09-06 23:00:45
40,Alofi,-19.06,-169.92,77.0,50,75,20.8,NU,2020-09-06 23:02:24
41,Bengkulu,-3.8,102.27,75.02,90,100,6.87,ID,2020-09-06 23:02:24
42,Margate,51.38,1.39,61.0,79,9,7.78,GB,2020-09-06 23:02:24
43,Souillac,-20.52,57.52,69.8,88,75,5.82,MU,2020-09-06 23:01:04
44,Puerto Ayora,-0.74,-90.35,68.0,90,88,7.0,EC,2020-09-06 23:02:25
45,Dikson,73.51,80.55,41.99,81,70,20.07,RU,2020-09-06 23:02:25
46,Pangani,-5.43,38.97,74.01,81,47,6.82,TZ,2020-09-06 23:02:25
47,Sivaki,52.63,126.75,55.78,95,70,5.12,RU,2020-09-06 23:02:25
48,Kapaa,22.08,-159.32,86.0,62,20,16.11,US,2020-09-06 23:02:25
49,Hay River,60.82,-115.8,50.0,66,75,3.36,CA,2020-09-06 23:02:26
50,Mataura,-46.19,168.86,45.0,72,49,11.01,NZ,2020-09-06 23:02:26
51,Bluff,-46.6,168.33,45.0,72,75,11.01,NZ,2020-09-06 23:02:27
52,Bemidji,47.47,-94.88,68.0,52,40,31.09,US,2020-09-06 23:00:02
53,Provideniya,64.38,-173.3,42.8,70,75,20.13,RU,2020-09-06 23:02:28
54,Pingliang,35.54,106.69,61.39,49,0,1.95,CN,2020-09-06 23:01:50
55,Palana,59.12,159.97,49.5,69,100,5.32,RU,2020-09-06 23:02:29
56,Geraldton,-28.77,114.6,59.0,82,90,16.11,AU,2020-09-06 23:02:29
57,Den Helder,52.96,4.76,55.99,93,75,2.24,NL,2020-09-06 23:02:30
58,Hithadhoo,-0.6,73.08,82.04,77,100,11.65,MV,2020-09-06 23:02:31
59,Longyearbyen,78.22,15.64,39.2,93,75,5.82,SJ,2020-09-06 23:02:31
60,Muros,42.78,-9.06,57.99,76,1,6.93,ES,2020-09-06 23:02:31
61,Te Anau,-45.42,167.72,46.27,68,23,0.45,NZ,2020-09-06 23:01:53
62,Port Alfred,-33.59,26.89,59.0,86,28,5.19,ZA,2020-09-06 23:02:32
63,Parral,26.93,-105.67,73.18,57,85,9.84,MX,2020-09-06 23:01:01
64,Tuktoyaktuk,69.45,-133.04,42.8,70,20,9.17,CA,2020-09-06 23:02:32
65,Katsuura,35.13,140.3,82.4,88,75,12.75,JP,2020-09-06 23:02:33
66,Busselton,-33.65,115.33,53.01,62,25,19.51,AU,2020-09-06 23:02:33
67,Kermanshah,34.31,47.06,75.2,17,0,2.3,IR,2020-09-06 23:02:34
68,Carnarvon,-24.87,113.63,66.2,100,40,5.82,AU,2020-09-06 23:02:34
69,Bonavista,48.65,-53.11,59.34,70,19,11.61,CA,2020-09-06 23:02:34
70,Rongcheng,30.63,117.85,71.01,84,0,2.51,CN,2020-09-06 23:02:35
71,Qaanaaq,77.48,-69.36,23.88,82,0,2.66,GL,2020-09-06 23:02:36
72,Ballina,-28.87,153.57,64.4,77,90,8.05,AU,2020-09-06 23:01:06
