City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Cortez,37.35,-108.59,77.0,22,1,5.82,US,2020-09-07 03:51:58,clear sky
1,Pevek,69.7,170.31,45.68,69,27,14.58,RU,2020-09-07 03:48:53,scattered clouds
2,Hermanus,-34.42,19.23,52.23,84,4,7.61,ZA,2020-09-07 03:48:38,clear sky
3,Ushuaia,-54.8,-68.3,35.6,89,40,10.29,AR,2020-09-07 03:48:36,scattered clouds
4,Atuona,-9.8,-139.03,78.66,77,19,18.61,PF,2020-09-07 03:51:58,light rain
5,Hilo,19.73,-155.09,82.4,61,90,8.05,US,2020-09-07 03:51:59,overcast clouds
6,Khatanga,71.97,102.5,52.9,55,0,4.72,RU,2020-09-07 03:51:59,clear sky
7,Cape Town,-33.93,18.42,48.99,93,0,1.12,ZA,2020-09-07 03:51:59,clear sky
8,Port Alfred,-33.59,26.89,58.01,86,26,10.16,ZA,2020-09-07 03:52:00,scattered clouds
9,Denpasar,-8.65,115.22,84.2,83,20,16.11,ID,2020-09-07 03:49:25,few clouds
10,Koplik,42.21,19.44,62.6,67,0,2.24,AL,2020-09-07 03:52:00,clear sky
11,Mar Del Plata,-38.0,-57.56,45.0,78,0,6.76,AR,2020-09-07 03:49:12,fog
12,Gogrial,8.53,28.1,69.73,97,86,5.44,SS,2020-09-07 03:52:00,light rain
13,Flinders,-34.58,150.86,66.99,64,0,11.99,AU,2020-09-07 03:52:00,clear sky
14,Guangyuan,32.44,105.82,75.99,67,0,3.13,CN,2020-09-07 03:52:01,clear sky
15,Punta Arenas,-53.15,-70.92,41.0,80,100,4.7,CL,2020-09-07 03:48:55,overcast clouds
16,Rikitea,-23.12,-134.97,72.95,85,0,9.13,PF,2020-09-07 03:48:37,clear sky
17,Qaanaaq,77.48,-69.36,20.59,81,0,5.37,GL,2020-09-07 03:52:01,clear sky
18,Mataura,-46.19,168.86,56.73,54,26,3.38,NZ,2020-09-07 03:52:01,scattered clouds
