City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Abu Zabad,SD,2020-09-01 04:00:17,12.35,29.25,74.19,77,96,4.03
1,Tucuman,AR,2020-09-01 03:58:51,-26.82,-65.22,51.8,76,100,2.19
2,Banda Aceh,ID,2020-09-01 04:00:18,5.56,95.32,81.79,76,100,7.58
3,Los Llanos De Aridane,ES,2020-09-01 04:00:18,28.66,-17.92,71.6,60,20,5.82
4,Fort Nelson,CA,2020-09-01 03:57:51,58.81,-122.7,57.2,76,75,5.82
5,Busselton,AU,2020-09-01 04:00:19,-33.65,115.33,59.0,49,46,25.5
6,Oriximina,BR,2020-09-01 04:00:20,-1.77,-55.87,73.72,92,1,4.61
7,Hilo,US,2020-09-01 04:00:20,19.73,-155.09,80.6,69,90,8.05
8,Aldan,RU,2020-09-01 04:00:41,58.6,125.39,57.74,75,79,6.02
9,Pangnirtung,CA,2020-09-01 04:00:42,66.15,-65.71,47.37,56,100,9.33
10,Gat,IL,2020-09-01 04:00:04,31.61,34.76,79.0,68,2,6.44
11,Komsomolskiy,UZ,2020-09-01 04:00:45,40.43,71.72,77.0,36,1,4.7
12,Rikitea,PF,2020-09-01 04:00:45,-23.12,-134.97,68.59,86,65,18.41
13,Cape Town,ZA,2020-09-01 03:57:15,-33.93,18.42,54.0,93,11,5.82
14,Prince Rupert,CA,2020-09-01 04:00:45,54.32,-130.32,57.2,93,90,2.24
15,Albany,US,2020-09-01 04:00:14,42.6,-73.97,64.99,73,50,4.16
16,Nikolskoye,RU,2020-09-01 04:00:48,59.7,30.79,55.4,87,90,6.71
17,Wajima,JP,2020-09-01 04:00:49,37.4,136.9,78.8,88,75,2.24
18,Mataura,NZ,2020-09-01 04:00:49,-46.19,168.86,45.0,72,60,11.01
19,Port Augusta,AU,2020-09-01 04:00:50,-32.5,137.77,68.0,30,91,21.92
20,Ribeira Grande,PT,2020-09-01 04:00:50,38.52,-28.7,71.26,72,21,14.07
21,Batagay,RU,2020-09-01 04:00:50,67.63,134.63,61.3,42,20,2.17
22,Khakhea,BW,2020-09-01 04:00:51,-24.69,23.49,50.16,95,7,16.67
23,Punta Arenas,CL,2020-09-01 03:59:31,-53.15,-70.92,35.6,88,0,10.29
24,Champerico,GT,2020-09-01 04:00:52,14.3,-91.92,63.0,89,20,1.99
25,Haines Junction,CA,2020-09-01 04:00:52,60.75,-137.51,46.44,77,51,6.6
26,Leningradskiy,RU,2020-09-01 04:00:52,69.38,178.42,36.72,95,100,3.85
27,Vaini,TO,2020-09-01 04:00:53,-21.2,-175.2,80.6,83,75,10.29
28,Lorengau,PG,2020-09-01 04:00:53,-2.02,147.27,85.33,67,68,5.01
29,San Quintin,MX,2020-09-01 04:00:54,30.48,-115.95,67.51,83,0,10.36
30,Sulangan,PH,2020-09-01 04:00:55,11.14,123.72,84.9,69,53,6.53
31,Necochea,AR,2020-09-01 04:00:57,-38.55,-58.74,36.0,80,76,2.8
32,Fortuna,US,2020-09-01 04:00:57,40.6,-124.16,60.01,82,20,2.06
33,Saskylakh,RU,2020-09-01 04:00:58,71.92,114.08,49.19,59,100,9.04
34,College,US,2020-09-01 04:00:58,64.86,-147.8,66.2,36,75,0.69
35,Barrow,US,2020-09-01 04:00:59,71.29,-156.79,37.4,86,75,21.92
36,Georgetown,MY,2020-09-01 04:00:59,5.41,100.34,87.8,66,20,10.29
37,Denpasar,ID,2020-09-01 04:01:00,-8.65,115.22,86.0,74,75,13.87
38,Paita,PE,2020-09-01 04:01:00,-5.09,-81.11,61.81,84,100,14.29
39,Hermanus,ZA,2020-09-01 04:01:01,-34.42,19.23,50.88,83,57,13.98
40,Provideniya,RU,2020-09-01 04:01:02,64.38,-173.3,50.0,61,40,13.42
41,Bluff,NZ,2020-09-01 04:01:02,-46.6,168.33,45.0,72,56,11.01
42,Saint-Philippe,RE,2020-09-01 04:01:03,-21.36,55.77,71.01,64,58,4.7
43,Pula,HR,2020-09-01 04:01:04,44.87,13.85,59.0,87,40,12.75
44,Upernavik,GL,2020-09-01 04:01:04,72.79,-56.15,36.37,95,100,6.62
